,road_name,condition,from,to,closed_date,closed_time,open_date,open_time,last_updated
0,Grassmere Road,Culvert problems,Milepost 0.41,Resolution # 20140033,1/13/2014,Until Furt,,TBD,2/11/2014 8:56 AM
1,Challenger Road,Roadside Sloughing,43409 Challenger Road,State Route 20 East end,2/17/2015,Until Furt,,TBD,5/7/2015 7:56 AM
2,Edens  Rd,Water over Roadway,Section Ave,Nootka Ln,,,,TBD,1/31/2020 12:07 PM
3,Satterlee Rd,Water over Road,Christianson Rd,South Green Street,,,,TBD,1/20/2020 12:10 PM
4,Fox Road,Water over Road / CLOSED,24063 Fox Road,Dead end,2/6/2020,,,,2/6/2020 11:19 AM
